"","name","id","date","type","year"
"107","Clause 2.—(Rules for the Assessment of Compensation.)","41, 42, 43, 44","25 Jun. 1919","Commons",1919
"108","Clause 2.—(Rules for the Assessment of Compensation.)","41, 42, 43, 44","26 Jun. 1919","Commons",1919
"109","CLAUSE 4.—(Consolidation of Proceedings on Claims for Compensation in Respect of Various Interests in the Same Land.)","45","26 Jun. 1919","Commons",1919
"110","CLAUSE 5.—(Provisions as to Costs.)","46","26 Jun. 1919","Commons",1919
"111","CLAUSE 5.—(Provisions as to Costs.)","68","11 Jul. 1919","Commons",1919
"112","CLAUSE 5.—(Provisions as to Costs.)","1","7 Aug. 1919","Lords",1919
"113","ACQUISITION OF LAND BILL.","26","10 Apr. 1919","Commons",1919
"114","ACQUISITION OF LAND BILL.","35","5 Mar. 1920","Commons",1920
"115","ACQUISITION OF LAND FOR PURPOSES CONNECTED WITH OFFSHORE PETROLEUM","24, 25, 26","10 Dec. 1974","Commons",1974
"116","ACQUISITION OF LAND FOR PURPOSES CONNECTED WITH OFFSHORE PETROLEUM","43, 44, 45","14 Jan. 1975","Commons",1975
"117","ACQUISITION OF LAND FOR PURPOSES CONNECTED WITH OFFSHORE PETROLEUM","113, 114","26 Feb. 1975","Commons",1975
"118","ACQUISITION OF LAND","242","1 Apr. 1998","Commons",1998
"119","ACQUISITION OF SECURITIES AND CONTROL OF SUBSIDIARIES","53","25 Jun. 1974","Commons",1974
"120","ACQUISITION OF SHARES","235, 236","16 Jun. 1975","Commons",1975
"121","ACT TO APPLY TO TELEVISION AND SOUND BROADCASTING","157, 158","25 Apr. 1986","Commons",1986
"122","ACTION BY COMMISSION FOR PROMOTING SETTLEMENT OF QUESTION REFERRED UNDER S. 35","127, 128","9 Feb. 1971","Commons",1971
"123","ACTIONS AGAINST THE CROWN.","1","27 Nov. 1946","Lords",1946
"124","ACTIONS OF HER MAJESTY'S GOVERNMENT","51, 52","2 Feb. 1965","Commons",1965
"125","ACTIVITIES FOR WHICH LICENCES MAY BE GRANTED","239, 240","20 Jun. 1990","Commons",1990
"126","ACTIVITIES OF AGENCIES IN RURAL AREAS","240","1 Apr. 1998","Commons",1998
"127","ACTIVITIES RELATING TO PETROLEUM","183","24 Jun. 1977","Commons",1977
"128","ACTS IN CONTEMPLATION OF FURTHERANCE OF TRADE DISPUTES","106","30 Jul. 1974","Commons",1974
"129","ACTS OF THE SCOTTISH PARLIAMENT","144","29 Jan. 1998","Commons",1998
"130","ACTS OF UNIFORMITY AMENDMENT BILL—(No. 1.)—SECOND READING.","1","19 May. 1863","Lords",1863
"131","ACTS RELATING TO BROADCASTING NOT INFRINGING THE TELECOMMUNICA TION PRIVILEGE","342","22 Jul. 1969","Commons",1969
"132","ACTS RELATING TO BROADCASTING NOT INFRINGING THE TELECOMMUNICATION PRIVILEGE","211","12 May. 1969","Commons",1969
"133","ADAPTATION AND AMENDMENT OF ENACTMENTS","100","19 Feb. 1975","Commons",1975
"134","'Additional action plans","65","30 Jan. 1992","Commons",1992
"135","ADDITIONAL CUSTOMS DUTIES.","52","9 Feb. 1932","Commons",1932
"136","ADDITIONAL MEMBER SYSTEM: RETURN OF MEMBERS","233","25 Mar. 1998","Commons",1998
"137","ADDITIONAL NUMBER OF LAND FORCES.","75, 76","18 Apr. 1921","Commons",1921
"138","ADDITIONAL NUMBER OF LAND FORCES","93","26 Feb. 1947","Commons",1947
"139","ADDITIONAL NUMBER OF MEN AND BOYS.","154","22 Jul. 1912","Commons",1912
"140","ADDITIONAL POWERS OF NATIONAL PORTS AUTHORITY","110","28 Apr. 1970","Commons",1970
"141","ADDITIONAL POWERS OF PRICE COMMISSION TO PREVENT OR RESTRICT PRICE INCREASES","38","12 Jun. 1974","Commons",1974
"142","ADDITIONAL PPOWERS FOR AUDITORS OF LOCAL AUTHORITIES ETC.","208","9 Mar. 1988","Commons",1988
"143","ADDITIONAL RELIEF FOR DEVELOPING COUNTRY DEBT","55","7 Jul. 1992","Commons",1992
"144","ADDITIONAL RELIEF FOR LDC DEBT","298, 299","17 Jul. 1990","Commons",1990
"145","ADDITIONAL SUM OF COMPENSATION FOR SMALL FIRMS","146","16 May. 1991","Commons",1991
"146","ADDITIONALITY","287","1 Jun. 1998","Commons",1998
"147","ADDRESS FOR A COMMISSION.","1","11 Jun. 1866","Lords",1866
"148","ADDRESS FOR A ROYAL COMMISSION.","1","2 Jul. 1872","Commons",1872
"149","ADDRESS FOR A ROYAL COMMISSION.","1","21 Jul. 1873","Lords",1873
"150","ADDRESS IN ANSWER TO HER MAJESTY'S MOST GRACIOUS SPEECH.","2","1 Feb. 1900","Commons",1900
"151","ADDRESS IN REPLY TO HER MAJESTY'S MOST GRACIOUS SPEECH","1","3 Nov. 1959","Lords",1959
"152","ADDRESS IN REPLY TO HER MAJESTY'S MOST GRACIOUS SPEECH","1","8 Nov. 1960","Lords",1960
"153","ADDRESS IN REPLY TO HER MAJESTY'S MOST GRACIOUS SPEECH","1","7 Nov. 1961","Lords",1961
"154","ADDRESS IN REPLY TO HER MAJESTY'S MOST GRACIOUS SPEECH","1","19 Nov. 1963","Lords",1963
"155","ADDRESS IN REPLY TO HER MAJESTY'S MOST GRACIOUS SPEECH","1","21 Nov. 1963","Lords",1963
"156","ADDRESS IN REPLY TO HER MAJESTY'S MOST GRACIOUS SPEECH","1","14 Jul. 1970","Lords",1970
"157","ADDRESS IN REPLY TO HER MAJESTY'S MOST GRACIOUS SPEECH","1","8 Nov. 1972","Lords",1972
"158","ADDRESS IN REPLY TO HER MAJESTY'S MOST GRACIOUS SPEECH","1","6 Nov. 1973","Lords",1973
"159","ADDRESS IN REPLY TO HER MAJESTY'S MOST GRACIOUS SPEECH","1","27 Nov. 1980","Lords",1980
"160","ADDRESS IN REPLY TO HER MAJESTY'S MOST GRACIOUS SPEECH","1, 2","10 Nov. 1982","Lords",1982
"161","ADDRESS IN REPLY TO HER MAJESTY's MOST GRACIOUS SPEECH","1, 2","29 Jun. 1983","Lords",1983
"162","Address in Reply to Her Majesty's Most Gracious Speech","1","13 Nov. 1985","Lords",1985
"163","Address in Reply to Her Majesty's Most Gracious Speech","1, 2","19 Nov. 1986","Lords",1986
"164","Address in Reply to Her Majesty's Most Gracious Speech","1, 2","28 Nov. 1989","Lords",1989
"165","Address in Reply to Her Majesty's Most Gracious Speech","1, 2","14 Nov. 1990","Lords",1990
"166","Address in Reply to Her Majesty's Most Gracious Speech","1","7 Nov. 1991","Lords",1991
"167","Address in Reply to her Majesty's Most Gracious Speech","1","30 Oct. 1996","Lords",1996
"168","Address in Reply to Her Majesty's Most Gracious Speech","1","24 Nov. 1999","Lords",1999
"169","Address in Reply to Her Majesty's Most Gracious Speech","1, 2","2 Dec. 2003","Lords",2003
"170","ADDRESS IN REPLY TO HIS MAJESTY'S MOST GRACIOUS SPEECH.","1","12 Feb. 1914","Lords",1914
"171","ADDRESS IN REPLY TO HIS MAJESTY'S MOST GRACIOUS SPEECH.","1","16 Dec. 1921","Lords",1921
"172","ADDRESS IN REPLY TO HIS MAJESTY'S MOST GRACIOUS SPEECH.","1","8 Feb. 1922","Lords",1922
"173","ADDRESS IN REPLY TO HIS MAJESTY'S MOST GRACIOUS SPEECH.","1","10 Nov. 1938","Lords",1938
"174","ADDRESS TO HER MAJESTY. ADJOURNED DEBATE. [FOURTH NIGHT.]","1","8 Jul. 1864","Commons",1864
"175","ADELPHI ESTATE BILL [Lords.] (By Order).","261","12 Jul. 1933","Commons",1933
"176","ADEN, PERIM AND KURIA MURIA ISLANDS BILL","401","28 Jun. 1967","Commons",1967
"177","ADEN","3, 4","13 Nov. 1962","Commons",1962
"178","ADJOURNED DEBATE ON SECOND READING.— [Fourth Day.]","23, 24, 25","2 Mar. 1911","Commons",1911
"179","ADJOURNED DEBATE RESUMED.","1","27 Feb. 1865","Commons",1865
"180","ADJOURNED DEBATE. EIGHTH NIGHT.","1","27 Apr. 1866","Commons",1866
"181","ADJOURNED DEBATE. FIFTH NIGHT.","1","14 May. 1877","Commons",1877
"182","ADJOURNED DEBATE. SECOND NIGHT.","1","8 May. 1865","Commons",1865
"183","ADJOURNED DEBATE. [FIFTH NIGHT.]","1","7 Feb. 1878","Commons",1878
"184","ADJOURNED DEBATE. [FOURTEENTH NIGHT.]","1","18 Mar. 1887","Commons",1887
"185","ADJOURNED DEBATE. [FOURTH NIGHT.]","1","2 Aug. 1878","Commons",1878
"186","ADJOURNED DEBATE. [FOURTH NIGHT.]","1","13 Dec. 1878","Commons",1878
"187","ADJOURNED DEBATE. [FOURTH NIGHT.]","1","10 Feb. 1880","Commons",1880
"188","ADJOURNED DEBATE. [FOURTH NIGHT.]","1","9 Mar. 1882","Commons",1882
"189","ADJOURNED DEBATE. [FOURTH NIGHT.]","1","6 May. 1887","Commons",1887
"190","ADJOURNED DEBATE. [SECOND NIGHT.]","1","23 May. 1882","Commons",1882
"191","ADJOURNED DEBATE. [SECOND NIGHT.]","1","21 Sep. 1886","Commons",1886
"192","ADJOURNED DEBATE. [SEVENTH NIGHT.]","1","18 Apr. 1887","Commons",1887
"193","ADJOURNED DEBATE. [THIRD DAY.]","1","28 Feb. 1880","Commons",1880
"194","ADJOURNED DEBATE. [THIRD NIGHT.]","1","23 May. 1878","Commons",1878
"195","ADJOURNED DEBATE. [THIRTEEN'TH NIGHT.]","1","16 Mar. 1887","Commons",1887
"196","ADJOURNED DEBATE.","1","3 Apr. 1868","Commons",1868
"197","ADJOURNED DEBATE.","1","2 Mar. 1871","Commons",1871
"198","ADJOURNED DEBATE.","1","8 Aug. 1872","Commons",1872
"199","ADJOURNED DEBATE.","1","31 May. 1875","Commons",1875
"200","ADJOURNED DEBATE.","1","18 Jan. 1878","Commons",1878
"201","ADJOURNED DEBATE.","1","24 May. 1880","Commons",1880
"202","ADJOURNED DEBATE.","1","22 Jun. 1880","Commons",1880
"203","ADJOURNED DEBATE.","1","27 Feb. 1885","Lords",1885
"204","ADJOURNED DEBATE.","1","2 Mar. 1888","Commons",1888
"205","[ADJOURNED DEBATE.] [EIGHTH NIGHT.]","1","26 Feb. 1883","Commons",1883
"206","[ADJOURNED DEBATE.] [FIFTH NIGHT.]","1","7 Mar. 1888","Commons",1888
"207","[ADJOURNED DEBATE.] [NINETEENTH NIGHT.]","1","10 Nov. 1882","Commons",1882
"208","[ADJOURNED DEBATE.] [SECOND NIGHT.]","1","28 Feb. 1888","Commons",1888
"209","[ADJOURNED DEBATE.] [SEVENTH NIGHT.]","1","23 Feb. 1883","Commons",1883
"210","[ADJOURNED DEBATE.] [THIRTEENTH NIGHT.]","1","2 Nov. 1882","Commons",1882
"211","ADJOURNMENT (CHRISTMAS AND WINTER)","21","12 Dec. 1978","Commons",1978
"212","ADJOURNMENT (CHRISTMAS).","43, 44","11 Dec. 1931","Commons",1931
"213","ADJOURNMENT (CHRISTMAS).","20","20 Dec. 1935","Commons",1935
"214","ADJOURNMENT (CHRISTMAS).","19","20 Dec. 1935","Commons",1935
"215","ADJOURNMENT (CHRISTMAS)","27","6 Dec. 1951","Commons",1951
"216","ADJOURNMENT (CHRISTMAS)","32","20 Dec. 1956","Commons",1956
"217","ADJOURNMENT (CHRISTMAS)","24","16 Dec. 1959","Commons",1959
"218","ADJOURNMENT (CHRISTMAS)","43, 44","20 Dec. 1961","Commons",1961
"219","ADJOURNMENT (CHRISTMAS)","21, 22","18 Dec. 1962","Commons",1962
"220","ADJOURNMENT (CHRISTMAS)","43","17 Dec. 1968","Commons",1968
"221","Adjournment (Christmas)","37","20 Dec. 1982","Commons",1982
"222","Adjournment (Christmas)","8","3 Dec. 1993","Commons",1993
"223","ADJOURNMENT (EASTER)","133","17 Apr. 1946","Commons",1946
"224","ADJOURNMENT (EASTER)","79, 80","9 Apr. 1952","Commons",1952
"225","ADJOURNMENT (EASTER)","121","28 Mar. 1961","Commons",1961
"226","ADJOURNMENT (EASTER)","8, 9","9 Apr. 1974","Commons",1974
"227","Adjournment (Royal Wedding and Summer)","1","23 Jul. 1981","Commons",1981
"228","Adjournment (Spring)","274","18 May. 1993","Commons",1993
"229","Adjournment (Spring)","259","25 May. 1994","Commons",1994
"230","ADJOURNMENT (SUMMER) AND SITTINGS OF THE HOUSE","171","11 Aug. 1966","Commons",1966
"231","ADJOURNMENT (SUMMER).","293, 294","2 Aug. 1939","Commons",1939
"232","ADJOURNMENT (SUMMER)","383","13 Aug. 1947","Commons",1947
"233","ADJOURNMENT (SUMMER)","212, 213","29 Jul. 1954","Commons",1954
"234","ADJOURNMENT (SUMMER)","288","24 Jul. 1968","Commons",1968
"235","ADJOURNMENT (SUMMER)","10","23 Jul. 1970","Commons",1970
"236","ADJOURNMENT (SUMMER)","476","5 Aug. 1971","Commons",1971
"237","ADJOURNMENT (SUMMER)","82","26 Jul. 1979","Commons",1979
"238","Adjournment (Summer)","436","26 Jul. 1984","Commons",1984
"239","Adjournment (Summer)","291","24 Jul. 1985","Commons",1985
"240","Adjournment (Summer)","280","24 Jul. 1986","Commons",1986
"241","Adjournment (Summer)","15","13 Jul. 1987","Commons",1987
"242","Adjournment (Summer)","60","9 Jul. 1992","Commons",1992
"243","Adjournment (Summer)","362","26 Jul. 1993","Commons",1993
"244","Adjournment (Summer)","301","20 Jul. 1994","Commons",1994
"245","ADJOURNMENT (UNDER STANDING (ORDER No. 10) (EDUCATION ACT, 1902. BOROUGH OF EAST HAM)","149, 150","4 May. 1905","Commons",1905
"246","ADJOURNMENT (UNDER STANDING ORDER NO. 10) (JUDGESHIP IN THE HIGH COURT OF JUSTICE IN IRELAND).","19, 20","25 Feb. 1907","Commons",1907
"247","ADJOURNMENT (UNDER STANDING ORDER NO. 10) (OPERATION OF THE CRIMINAL LAW IN COUNTY GALWAY.)","240","4 Jul. 1905","Commons",1905
"248","ADJOURNMENT (UNDER STANDING ORDER No. 10) APPOINTMENT OF PRESIDENT OF THE BOARD OF TRADE).","43","13 Mar. 1905","Commons",1905
"249","ADJOURNMENT (UNDER STANDING ORDER No. 10).","96","21 May. 1903","Commons",1903
"250","ADJOURNMENT (UNDER STANDING ORDER NO. 10).","44","7 Mar. 1904","Commons",1904
"251","ADJOURNMENT (UNDER STANDING ORDER No. 10).","7","22 Feb. 1905","Commons",1905
"252","ADJOURNMENT (UNDER STANDING ORDER NO. 10.)","148","3 May. 1905","Commons",1905
"253","ADJOURNMENT (WHITSUNTIDE).","172","2 Jun. 1927","Commons",1927
"254","ADJOURNMENT (WHITSUNTIDE).","267","22 May. 1931","Commons",1931
"255","ADJOURNMENT (WHITSUNTIDE)","213","5 Jun. 1962","Commons",1962
"256","ADJOURNMENT (WHITSUNTIDE)","15","24 May. 1966","Commons",1966
"257","ADJOURNMENT (WHITSUNTIDE)","142, 143","16 May. 1968","Commons",1968
"258","Adjournment Debates (Applications)","13","1 Dec. 1981","Commons",1981
"259","ADJOURNMENT OF THE HOUSE (AUTUMN).","441","28 Sep. 1926","Commons",1926
"260","ADJOURNMENT OF THE HOUSE (EASTER).","70","29 Mar. 1923","Commons",1923
"261","ADJOURNMENT OF THE HOUSE (SUMMER).","196","7 Aug. 1924","Commons",1924
"262","ADJOURNMENT OF THE HOUSE (WHITSUNTIDE).","1, 202","23 May. 1901","Commons",1901
"263","ADJOURNMENT OF THE HOUSE.","153, 154, 155, 156, 157, 158, 159, 160","29 Apr. 1902","Commons",1902
"264","ADJOURNMENT—CHINESE IN THE TRANSVAAL.","412","15 Nov. 1906","Commons",1906
"265","ADJOURNMENT.","98, 99","13 Jul. 1910","Commons",1910
"266","ADJOURNMENT.","194","5 Aug. 1924","Commons",1924
"267","ADJOURNMENT.","447, 448","26 Oct. 1926","Commons",1926
"268","ADJOURNMENT.","113","8 May. 1928","Commons",1928
"269","ADJOURNMENT.","330","6 Oct. 1938","Commons",1938
"270","ADJOURNMENT","11","14 Mar. 1945","Commons",1945
"271","ADJOURNMENT","94","27 Feb. 1947","Commons",1947
"272","ADJOURNMENT","280","13 Sep. 1956","Commons",1956
"273","ADJOURNMENT","197","14 Jul. 1958","Commons",1958
"274","ADJOURNMENT","12","19 Nov. 1974","Commons",1974
"275","Adjournment","0","19 Nov. 2003","Lords",2003
"276","ADJUDICATING PANEL","213","9 Jun. 1986","Commons",1986
"277","ADJUDICATORS","222","24 Mar. 1998","Commons",1998
"278","ADJUSTMENT OF BLOCK GRANT","474, 475","7 Nov. 1988","Commons",1988
"279","ADJUSTMENTS OF DISTRIBUTION OF BLOCK GRANT","495","11 Nov. 1980","Commons",1980
"280","ADJUSTMENTS OF DISTRIBUTION OF BLOCK GRANT","261","7 Jul. 1982","Commons",1982
"281","ADJUSTMENTS OF DISTRIBUTION OF BLOCK GRANT","271","21 Jul. 1986","Commons",1986
"282","ADMINISTRATION AND COLLECTION CAPITAL OF TRANSFER TAX","136","10 Mar. 1975","Commons",1975
"283","ADMINISTRATION AND PENALTIES","267","20 Apr. 1988","Commons",1988
"284","Administration and Works Committee","1, 2","21 Dec. 2004","Lords",2004
"285","ADMINISTRATION OF JUSTICE (EMERGENCY PROVISIONS) (SCOTLAND) BILL","101","20 Mar. 1979","Commons",1979
"286","ADMINISTRATION OF JUSTICE BILL [H.L.]","1","19 Dec. 1963","Lords",1963
"287","ADMINISTRATION OF JUSTICE BILL [H.L.]","1","3 Dec. 1964","Lords",1964
"288","Administration of Justice Bill [H.L.]","1","30 Mar. 1982","Lords",1982
"289","Administration of Justice Bill [H.L.]","1","6 Apr. 1982","Lords",1982
"290","Administration of Justice Bill [H.L.]","4","13 May. 1982","Lords",1982
"291","Administration of Justice Bill [H.L.]","1","31 Jan. 1985","Lords",1985
"292","Administration of Justice Bill [H.L.]","1","5 Feb. 1985","Lords",1985
"293","Administration of Justice Bill [H.L.]","1","14 Mar. 1985","Lords",1985
"294","Administration of Justice Bill [H.L.]","2, 3","14 Mar. 1985","Lords",1985
"295","Administration of Justice Bill [H.L.]","1, 2","19 Mar. 1985","Lords",1985
